username,tweet_processed,target
finarocks,is really digging The Horrors right now ,0
sampada,@shradhac Thanks ,0
yay4renee,Just got done watching some Buffy. Hurray it's Bryans Bday Dinner Tonight ,0
eddric,"@mastertaxton hey, just checking. I'll be in encinitas sometime in july. ",0
riztacular,Since when was being courteous crime? Somehow my name is in drama all the time ,0
LaverneLOVE,@mirrortiffanyj finish @mariosoultruth quote! ,0
nic0lepaula,Different types of mochi for dessert... Attackkk!   http://twitpic.com/61frc,0
pookeynoodlex,@victoriaaa_ lol wing it ;) gotta goooo by bye enjoy work ,0
thehappykid,"@punkful dati i get to talk to handlers pa when i was doing office/events. pero mas importante, prioritize your studies. the best yun! ",0
lain7,"@daveo0 thanks, me too ",0
Dannnnee,"@ShainaW Oh yeah I forgot about that, Nick Jonas is sexy ",0
Born_4_Broadway,"Goodnight, twitterverse ",0
swmy,'I didn't know you'd be my everything.' Aww.. ,0
likenoother11,chilln in the crib......talkn on the phone to my bff ,0
LoveKeturah,@YaeBoogie greeeaaat! Dreading work in the am...but what else is new! ,0
bawdyjane,@morteldri Wow... Talk about getting your money's worth  Can't wait!,0
magui042,@mileycyrus just listening your music!! you're amazing ,0
piamagalona,shares the right side of my face is paralyzed due to dentist's anesthesia! haha imagine that!  http://plurk.com/p/whibd,0
sweeneystar,Love the smell of clean sheets...gonna sleep good tonight ,0
mocha59,@DivadNhoj1981 We must stay strong.We must not fold.We know we fight the Good Fight.We got this!  I laugh at  Deflections...,0
LesMarianne,@officialcharice hi! How r u doing? Do u have any great pics frm italy? U should post 'em on Twitpic so we can see. ,0
cnicoleprgirl,"@JoeBlackAttacks yea at first I was deleting them, but then I decided to let the world see the ignorance and its cool I'm good though ",0
stavrose,@tiffanyrohe it's about time! ,0
SugarLips96,"my picture shows up if you follow me, I swear   I'm so tired!  Goodnight everyone.  Pyro is wonderful &lt;3",0
amberrhoadley,"was successful with the shaving cream and post-it notes... and the balloons, and the streamers... yeah, now it's bed time ",0
SuzaneGibson,You are the best thing that's ever happend to me ,0
mkaeag,@SamSkelton are you spying on Greg's computer? He's been playing the youtube vid of the famous CM song for days now ,0
firenza00,@TheCosmicJester How do we score an invite?  ,0
andreadln,I need a muscle man for a photo shoot. You know who you are. I promise to make it fun ,0
gryshee,@joondashbug Thanks ,0
BoriMischief,@welanie Hahaha yes they should. ,0
RabbiShaiSpecht,@pal013 We need to do more of that ,0
xoxoniqui,@ASelenaGomezFan thanks for the follow! wow! over a thousand followers already? @selenagomez would be soo proud! ,0
misshemmett,@MartyHolcomb Hello and thanks for the re-tweet. ,0
marakristina,EATING HAHA!! ,0
ParulBh,@rushiv yeap yeap :o) I'm just so eager for it to come out I cant stop looking for its 'sneak peeks' on the Net ,0
AlyxandraB,@MarishHargitay I love ANY episode of SVU &lt;3 and you always look gorgeous in all of them ,0
pookeynoodlex,off to work  bye yall,0
XxJustinxX,listened to sky eats airplanes cover of nookie... eh maybe if i liked the original i would like it.. but it was just not my style ,0
DireStraitsFTW,"@MacyCan Oh, you and your silly California time zone. ",0
